bleu, triples
0.451801002,7
0.572124842,14
1,4
0.24640511,14
0.707106781,9
0.364093024,7
1,3
0.488923022,9
0.818730753,5
0.338347369,12
0.20544098,13
0.000766798,5
1,5
1,4
0.550695315,4
0.009971877,5
0,7
0.508132748,8
0.158824817,10
0.606599743,18
0.48354474,9
0.24183165,10
1,8
0.759835686,6
0.357260593,29
0.182768048,4
0.229118215,26
0.282955963,15
1,6
0.430125085,9
0.316488928,15
0.378081436,22
0.622332977,5
0.511625642,10
0.488923022,9
0.306643913,34
0.470803094,22
0.773055176,13
0.340354862,19
0.23027331,4
0.430125085,8
0.281463997,14
0.477999535,12
0.441248451,13
0.378179043,11
0.608025321,7
0.859388705,17
0.508132748,8
0.5259178,12
0.427287006,20
1,4
0.257527185,28
0.39129503,18
0.474954953,16
0.395348755,14
0.466378967,25
0.43036205,7
0.479971227,28
0.795270729,9
0.343294524,11
0.405057699,10
0.731110446,8
0.402619097,8
0.405611498,8
0.60653066,3
0.240642647,13
0.751477293,11
0.171559599,31
0.343644639,13
0.707106781,8
0.469247006,11
0.441248451,10
0.272268247,23
0.426108272,15
0.352655568,11
0.509199665,11
0.459149769,14
0.367879441,3
0.597950315,24
0.375311927,13
1,6
0.614788153,9
0.673182138,8
0.718608224,7
0.392033265,26
1,10
0.233503084,12
0.524634102,14
0.528993443,13
0.187391754,30
0.336776504,7
0.28118349,22
0.176541262,33
0.411214981,19
0.315237776,17
0.155130266,17
0.451623498,26
0.643187022,10
0.415350924,8
0.60653066,4
0.287554279,12
0.224600007,25
0.341212493,23
0.594603558,7
0.334013593,5
0.569598843,17
0.508132748,25
0.569389388,10
0.334013593,7
0.318061047,24
0.260130048,3
0.546632557,8
0.222300379,8
0.550695315,10
0.459361332,14
0.441413937,11
0.40866465,8
0.386416261,20
0.419174249,12
0.562805745,18
0.227462882,26
0.46042074,19
0.296400954,13
0.45782274,10
0.625947755,4
0.263408397,24
0.716531311,4
0.366331103,10
0.182768048,4
0.43645383,7
0.405057699,8
0.873580465,4
0.334013593,4
0.359304112,13
0.604275079,6
0.207646011,6
0.4961683,15
0.459149769,10
0.458642457,19
1,4
0.291986106,3
0.027417505,5
0.54444606,5
0.265447814,27
0.341077255,9
0.308957578,11
0,4
0.330223228,12
0.60653066,3
0.249259787,14
0.174370385,6
0.300468533,24
0.415233726,6
0.809106712,11
0.492479061,18
0.419174249,16
0.241675289,23
0.253587453,25
0.638943104,13
0.472870805,9
1,12
0.373803674,12
0.367414549,9
0.266179033,19
0.442850014,13
0.257513058,12
0.441791823,17
0.220833582,13
0.30752617,22
0.505196836,15
0.564440379,6
0.441162936,11
0.842362674,15
0.594603558,9
0.457620517,31
0.256687746,31
0.481873042,17
0.589151046,13
0.300964413,12
0.549100487,14
0.261393607,22
0.550321208,7
1,8
0.430125085,7
0.427287006,21
0.332890364,31
0.382602942,8
0.60653066,3
0.594603558,11
0.260130048,3
0.60653066,3
0.45782274,11
0.401398995,14
0.472163902,23
0.608025321,17
0.390738025,14
0.22825471,14
0.336776504,13
0.402935167,10
0.591760627,6
0.453640445,25
0.323729564,11
0.376849916,9
0.483269783,10
0.347870055,13
0.287878782,19
0.562341325,4
0.293088294,31
0.377361111,25
0.152291193,25
1,11
1,9
0,2
0.459149769,10
0.873580465,4
0.568711278,4
1,12
0.260127844,35
0.48354474,9
0,7
0.707106781,3
0.41716227,8
0.326899676,10
0.240642647,13
0.60653066,3
0.498116886,12
0.382651986,8
0.462579989,22
0.43645383,11
0.299822139,14
0.496582832,24
0.253286218,32
0.643458884,9
0.260130048,3
0.235469649,19
0.631555237,10
0.503321045,7
0.176342314,18
0.426319621,17
0.454801905,8
0.103499591,19
0.328042407,14
0.703725948,6
0.602526881,22
0.262690989,10
0.524796452,23
0.38875142,13
0.367879441,4
0.45782274,7
0.64071176,17
0.456542451,23
0.463077716,10
0.396928772,22
0.382979567,11
0.355983548,6
0.494738591,5
0.509523147,5
0.669048441,11
0.262616867,8
0.308781895,14
1,5
0.428881942,6
0.800737403,12
0.433845503,23
0.550695315,6
0.251722574,38
0.194763334,29
0.731110446,6
0.202828849,22
0.262616867,10
0.423836563,8
0.434437125,18
0.182768048,4
0.638943104,6
0.46086364,10
0.428881942,3
0.562341325,8
0.269110911,14
0.205490131,21
0.625947755,4
0.240642647,11
0.357388011,12
0.604275079,5
0.652994206,7
0.533085912,12
0.397487044,11
0.22339546,25
0.577939091,9
0.691308647,13
0.488923022,9
0.459149769,11
0.250507166,35
0.516973154,7
0.490989509,11
0.17650559,27
0.120708408,28
0.33189267,18
0.179625058,26
0.546632557,10
0.707106781,9
0.273101815,16
1,6
0.357388011,10
0.439093992,26
0.56481981,19
0.614386875,7
1,3
0.273101815,19
0.35966115,18
0.311241822,15
0.329072385,10
0.608428854,12
0.600428771,9
0.750623854,11
0.355149609,19
0.488923022,10
0.633949559,5
0.608428854,12
0.632746949,13
0.448152602,6
0.416821895,24
0.328858045,16
0.610195043,11
0.367205627,14
0.145557988,20
0.275988598,26
0.375694696,13
0.314877692,13
0.716531311,4
0.680374933,10
0.357432106,18
0.673182138,8
0.252742666,16
1,14
0.525045958,12
0.217714733,22
0.239836635,23
0.416023908,13
0.894839317,10
0.456227207,10
0.673182138,10
0.392152509,19
0.308781895,17
0.450046768,8
0.300627654,25
0.600783672,15
0.461493737,8
0.198562044,27
0.359670555,15
0.473540765,18
0.257406044,24
0.406919409,12
0.370961764,33
0.432369436,16
0.367879441,4
0.268967416,24
0.393117738,18
0.348469449,11
1,6
0.204858112,33
0.716531311,8
0.759835686,6
0.214274037,27
0.386625272,15
1,9
0.134985696,19
0.389005328,16
0.093836244,4
0.427287006,14
0.29558013,16
0.448511165,5
0.547332024,16
0.208124521,33
0.366545904,13
0.463077716,10
0.46042074,18
0.321058924,7
0.262690989,11
0.415350924,9
0.320307156,12
0.547518254,12
0.254002897,15
0.347870055,13
0.27376781,14
0.204179154,22
0.537832926,12
0.331390037,29
0.600428771,12
1,3
1,9
0.510029457,4
0.693361274,5
0.200249532,30
0.362824143,11
0,5
0.307699532,16
1,6
0.341077255,8
0.537845494,12
0.568711278,4
0.47954447,21
0.739189829,13
0.34384776,18
0.095696497,7
0.30573136,10
0.406607678,13
1,12
0.317023314,12
0.701396727,7
1,4
0.451801002,11
0.145748812,25
0.150484354,25
0.366331103,10
1,6
0.599141704,16
0.247853999,12
0.254976405,22
0.550695315,4
0.365555223,9
0.249422587,12
0.510029457,14
0.294465645,16
0.294725848,14
0.528097222,13
0.591760627,4
0.477999535,12
0.23027331,4
0.286528702,29
0.367879441,3
0.550695315,6
0.183328343,17
0.531727351,10
0.60653066,3
1,3
0.60653066,3
0.340933149,17
0.873580465,4
0.596949179,11
1,9
0.54444606,12
0.35018064,16
0.367361272,23
0.720574545,11
0.271115189,24
0.367012461,8
0.722656881,12
0.653365728,10
0.237133202,27
0.555523807,9
1,3
1,3
0.60653066,3
0.60653066,3
0.60653066,3
0.60653066,3
1,3
0.60653066,4
0.60653066,3
0.60653066,2
0.60653066,2
0.60653066,3
0.428881942,3
0.60653066,3
0.60653066,3
0.60653066,3
1,4
1,4
0.60653066,3
0.367879441,3
0.367879441,2
0.367879441,2
1,4
1,4
0.367879441,3
0.693361274,4
0.260130048,3
0.693361274,4
0.260130048,2
1,4
1,4
0.367879441,2
0.367879441,2
0.367879441,2
0.260130048,2
0.496815063,3
0.873580465,4
0.260130048,2
0.625947755,7
0.260130048,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
0.428881942,2
0.448511165,5
0.60653066,2
1,4
0.60653066,2
0.496815063,4
0.157776849,2
0.355983548,4
0.625947755,7
0.693361274,7
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
0.873580465,4
1,3
1,3
0.873580465,4
0.157776849,2
0.291986106,5
0.550695315,6
0.260130048,2
0.707106781,4
0.60653066,2
0.550695315,10
1,4
0.724755793,4
0,2
1,4
0.778800783,6
0.568711278,4
1,4
1,6
0.778800783,6
0.550695315,6
0.622332977,5
0.707106781,4
0.157776849,2
0.22313016,3
0.716531311,4
0.716531311,4
0.693361274,5
0.716531311,4
1,6
0.49760939,4
0.49760939,4
1,6
1,6
0.550695315,4
0.60653066,4
1,4
0.255073358,5
0.60653066,6
0.795270729,9
0.550695315,6
0.562341325,6
0.638943104,6
0.550695315,4
0.513417119,4
0.513417119,4
0.622332977,8
1,6
0.448511165,4
0.818730753,9
0.778800783,9
1,4
0.548062319,7
0.759835686,5
0.795270729,6
0.428881942,4
0.707106781,6
0.448511165,4
0.367879441,4
0.550695315,6
0.355983548,4
0.334013593,4
0.591760627,6
0.334013593,2
0.778800783,4
1,8
0.58995654,5
0.594603558,7
0.448270032,9
0.182768048,4
0.182768048,4
0.703725948,6
0.759835686,8
0.511507812,9
0.604275079,9
0.818730753,6
0.472870805,4
0.724755793,6
1,6
0.547518254,8
0.454801905,9
0.840896415,4
0.513417119,5
1,10
0.633949559,7
0.668740305,6
0.46086364,4
0.511507812,7
0.523122369,9
0.818730753,8
0.428881942,6
1,7
0.448270032,8
0.622332977,4
0.60653066,4
0.511507812,10
0.562341325,7
0.651112603,4
0.555523807,7
0.157776849,3
1,8
0.604275079,6
0.510029457,6
1,8
1,8
1,8
0.555523807,10
0.846481725,8
0.540853661,4
0.846481725,9
0.550695315,6
0.5,7
0.638943104,9
0.41716227,7
0.508132748,6
0.430125085,9
0.818730753,9
1,6
0.255073358,2
0.60653066,7
0.358920963,6
0.670320046,4
1,8
0.428881942,6
1,8
0.47398785,6
0.846481725,8
0.494738591,6
1,6
0.405057699,9
0.367879441,4
0.428881942,8
0.718608224,7
0.263597138,4
0.388068429,6
0.439586609,6
0.448152602,10
1,7
1,8
0.260130048,4
1,8
0.718608224,6
0.509523147,6
0,4
1,9
0.550695315,4
0.388068429,6
0.509523147,9
0.364093024,7
0.809106712,7
0.670320046,6
0.511507812,8
0.182768048,4
0.467137978,10
0.537284966,8
0.171174196,15
0.326822997,21
0.2288276,18
0.48235608,8
0.562341325,11
0.365555223,8
0.133117384,33
0.142433307,23
0.731110446,7
0.24117804,14
0.147641212,26
0.478554392,13
0.263560136,11
0.187885926,20
0.664047101,11
0.711803448,6
1,13
0.467137978,7
0.643187022,10
0.353176008,17
0.265084561,6
0.362151385,12
0.516973154,10
1,6
0.430125085,9
0.569836378,10
0.605543865,10
1,6
0.594603558,8
1,8
0.60252861,7
0.526793492,6
0.680374933,9
0.516973154,10
0.467137978,10
1,6
0.516973154,13
0.427287006,10
0.594603558,7
0.503321045,8
0.751477293,11
0.846481725,11
0.058042859,7
1,8
1,8
0.367012461,5
0.605543865,9
0.430125085,8
0.364093024,7
0.384981501,7
0.547518254,8
0.41716227,6
0.351043583,9
0.594603558,6
0.555523807,9
0.537284966,6
0.54444606,7
1,12
0.840896415,10
0.451801002,8
0.508132748,8
0.8668779,9
0.643458884,8
1,12
0.5,11
0.524932594,9
0.461493737,8
0.643187022,11
0.643187022,6
0.5,11
0.388068429,6
0.516973154,12
0.516973154,10
1,12
1,10
0.454801905,6
0.459661358,11
0.508132748,7
0.524932594,9
0.673182138,9
0,7
0.795270729,6
0.448270032,6
0.846481725,7
0.476011655,9
0.376849916,9
1,8
1,8
0.751477293,8
0.5,10
0.5,15
0.405649724,9
0.643458884,12
0.448270032,6
0.417463527,6
0.562341325,8
0.47398785,7
0.701396727,10
0.882496903,10
0.540853661,7
0.716531311,7
0.846481725,8
1,11
0.8668779,12
0.367012461,7
0.562341325,10
0.594603558,12
0.594603558,11
0.320191183,11
0.428881942,7
0.454801905,8
0.78254229,9
0.759835686,9
0.555523807,11
0.840896415,8
0.445921064,10
0.840896415,8
0.529876531,9
0.095696497,7
0.488923022,11
0.488923022,11
0.494738591,6
0.643458884,11
0.331633195,8
0.388068429,6
0.384981501,6
0.397211341,7
1,11
0.202589485,6
0.382979567,12
0.451801002,10
1,6
0.431670011,17
0.509523147,8
0.441791823,7
1,8
0.547518254,13
0.46086364,8
0.751477293,9
0.751477293,9
0.451801002,9
0.8668779,9
0.882496903,10
1,10
0.716531311,6
1,7
0.8668779,8
0.650059326,12
1,10
1,8
0.691441569,10
0.48235608,8
0.427287006,13
0.485491772,11
0.368893973,10
1,8
0.376849916,7
0.222300379,6
0.341077255,5
0.731110446,11
0.48354474,9
0.555523807,8
0.59116026,12
0.503321045,8
0.58995654,8
0.446831072,11
0.277683528,11
0.305558963,8
0.24808415,8
0.375311927,13
0.350911977,8
0.325879805,13
0.643458884,8
0.488923022,10
0.488923022,8
0.308619463,9
0.701396727,9
0.660632864,12
0.846481725,7
0.516973154,9
0.366511363,7
1,9
0.516973154,8
0.35065941,6
0.454801905,11
0.48235608,10
0.384981501,5
0.387538583,8
0.609444548,7
0.461493737,6
0.46086364,9
0.795270729,14
0.654890787,19
0.322601352,9
0.417226145,13
0.435643554,8
0.631196908,12
0.305924358,7
0.628016973,10
0.158824817,10
0.187443091,8
0.607679581,14
0.35361129,10
0.369565606,16
0.245029686,32
0.180624946,12
0.392354221,15
0.600428771,11
0.56386531,10
0.308569601,19
0.53209626,13
0.296174201,37
0.306545454,15
0.254066374,14
0.223996139,30
0.393123024,15
0.29963847,29
0.366331103,10
0.421395295,10
0.359678959,10
0.16499713,22
0.805323596,22
0.532946263,11
0.367414549,10
0.341077255,9
0.412871318,11
0.477999535,12
0.228941569,23
0.251242185,12
0.415350924,17
0.143078714,15
0.432369436,14
0.750623854,15
0.459149769,11
0.210113858,49
0.419997398,14
0.305761638,19
0.633783488,6
0.251390689,15
0.239854165,38
0.882496903,9
0.111702466,10
0.524932594,12
0.676130446,13
0.634046628,18
0.251242185,10
0.415138095,12
0.035204774,7
0.32002861,16
0.386097395,11
0.722245058,18
0.45204707,26
0.366055014,11
0.42115125,23
0.330768044,14
0.366331103,10
0.232506408,29
0.29782018,20
0.382602942,11
0.199923657,14
0.226423151,15
0.376948663,6
0.156402297,15
0.413681768,16
0.345720785,13
0.310071201,22
0.468129464,8
0.545235357,17
0.190735055,19
0.514879798,13
0.465269454,12
0.527889051,18
0.259653589,13
0.340611567,15
0.209963318,44
0.604275079,12
0.226881133,17
0.407122078,12
0.326497103,13
0.504238724,15
0.614386875,11
0.012951112,7
0.171850458,10
0.491611361,19
0.260884052,9
0.667278569,22
0.441791823,9
0.216669178,20
0.645212101,20
0.397635364,11
0.262616867,8
0.651080364,13
0.215367242,18
0.208419539,11
0.575681618,11
0.292946942,30
0.220817915,23
0.228694707,16
0.343294524,12
0.404711079,14
0.31826835,10
1,11
0.21297647,8
0.313714361,12
0.197361288,31
0.196726233,16
0.258210937,13
0.605543865,8
0.729836014,14
0.355149609,14
0.388051412,20
0.318431646,17
0.346064325,12
0.302572671,19
0.235528921,17
0.701396727,8
0.756358086,13
0.73488892,17
0.370304683,19
0.494738591,12
0.247399773,18
0.54444606,10
0.301258642,16
0.415455892,10
0.386625272,12