Triples, Cosine
7,0.447213595
14,0.948683298
4,1
14,0.63900965
9,0.316227766
7,0.6172134
3,1
9,0.857142857
5,0.912870929
12,0.667423812
13,0.585369407
5,0.23570226
5,1
4,1
4,0.288675135
5,0.19245009
7,0
8,0.666666667
10,0.306186218
18,0.787726361
9,0.755928946
10,0.746202507
8,1
6,0.365148372
29,0.745601135
4,0.21821789
26,0.800326731
15,0.560448538
6,1
9,0.666666667
15,0.696310624
22,0.914659121
5,0.670820393
10,0.632455532
9,0.857142857
34,0.783349452
22,0.512822594
13,0.402911482
19,0.930949336
4,0.516397779
8,0.6172134
14,0.577350269
12,0.843274043
13,0.801783726
11,0.821583836
7,0.377964473
17,1
8,0.666666667
12,0.894427191
20,0.5
4,1
28,0.731925055
18,0.894427191
16,0.888888889
14,0.752617809
25,0.56694671
7,0.534522484
28,0.429668924
9,0.4
11,0.555555556
10,0.676123404
8,0.3086067
8,0.447213595
8,0.866025404
3,0.816496581
13,0.481125224
11,0.935414347
31,0.62962963
13,0.782623792
8,0.316227766
11,0.603022689
10,0.824957911
23,0.666666667
15,0.769230769
11,0.647150229
11,0.668153105
14,0.957427108
3,0.816496581
24,0.865180913
13,0.555555556
6,1
9,0.857142857
8,0.9258201
7,0.666666667
26,0.914659121
10,1
12,0.615457455
14,0.953462589
13,0.804030252
30,0.667423812
7,0.400891863
22,0.547722558
33,0.577350269
19,0.832050294
17,0.678400525
17,0.613571991
26,0.705023988
10,0.77151675
8,0.668153105
4,0.816496581
12,0.569802882
25,0.685994341
23,0.705023988
7,0.833333333
5,0.204124145
17,0.942809042
25,0.483045892
10,0.894427191
7,0.204124145
24,0.702959492
3,0.40824829
8,0.668153105
8,0.596284794
10,0.875
14,0.737864787
11,0.629940788
8,0.125988158
20,0.77151675
12,0.801783726
18,0.694365075
26,0.619779787
19,0.696310624
13,0.717137166
10,0.632455532
4,0.577350269
24,0.648885685
4,0.866025404
10,0.881917104
4,0.471404521
7,0.316227766
8,0.676123404
4,0.666666667
4,0.223606798
13,0.6
6,0.730296743
6,0.530330086
15,0.833333333
10,0.478091444
19,0.6
4,1
3,0.5
5,0.144337567
5,0.316227766
27,0.692820323
9,0.447213595
11,0.503952631
4,0
12,0.246182982
3,0.816496581
14,0.369800131
6,0.745355992
24,0.612056372
6,0.645497224
11,0.857142857
18,0.596284794
16,0.717137166
23,0.699378606
25,0.612056372
13,0.666666667
9,0.6
12,1
12,0.87038828
9,0.755928946
19,0.526234812
13,0.5
12,0.314485451
17,0.39223227
13,0.246182982
22,0.859337849
15,0.783349452
6,0.612372436
11,0.87038828
15,0.909090909
9,0.833333333
31,0.867227383
31,0.384900179
17,0.720576692
13,0.301511345
12,0.569802882
14,0.85811633
22,0.818923025
7,0.577350269
8,1
7,0.666666667
21,0.552052447
31,0.723568051
8,0.75
3,0.816496581
11,0.875
3,0.40824829
3,0.816496581
11,0.603022689
14,0.467707173
23,0.791154805
17,0.433012702
14,0.800640769
14,0.668993608
13,0.597614305
10,0.9258201
6,0.894427191
25,0.802955069
11,0.301511345
9,0.668153105
10,0.85811633
13,0.384900179
19,0.615384615
4,0.547722558
31,0.601929265
25,0.780720058
25,0.613139339
11,1
9,1
2,0
10,0.478091444
4,0.666666667
4,0.866025404
12,1
35,0.572502574
9,0.755928946
7,0
3,0.5
8,0.547722558
10,0.737864787
13,0.481125224
3,0.816496581
12,0.612372436
8,0.629940788
22,0.714285714
11,0.338061702
14,0.8
24,0.815374248
32,0.529256124
9,0.857142857
3,0.40824829
19,0.821583836
10,0.821583836
7,0.730296743
18,0.601337794
17,0.554700196
8,0.77151675
19,0.50902781
14,0.666666667
6,0.894427191
22,0.866666667
10,0.444444444
23,0.848874688
13,0.737864787
4,0.707106781
7,0.144337567
17,0.85811633
23,0.692820323
10,0.836660027
22,0.552052447
11,0.534522484
6,0.577350269
5,0.730296743
5,0.547722558
11,0.942809042
8,0.544331054
14,0.5
5,1
6,0.612372436
12,0.948683298
23,0.545705156
6,0.25
38,0.559016994
29,0.538027587
6,0.338061702
22,0.63900965
10,0.516397779
8,0.801783726
18,0.421637021
4,0.471404521
6,0.833333333
10,0.680413817
3,0.25
8,0.5
14,0.888888889
21,0.801783726
4,0.577350269
11,0.510310363
12,0.804030252
5,0.8
7,0.333333333
12,0.369800131
11,0.527046277
25,0.857492926
9,0.426401433
13,0.843274043
9,0.857142857
11,0.447213595
35,0.788932059
7,0.714285714
11,0.478091444
27,0.708010432
28,0.418717895
18,0.690065559
26,0.732467021
10,0.625
9,0.875
16,0.534522484
6,1
10,0.804030252
26,0.75
19,0.843274043
7,0.222222222
3,1
19,0.48507125
18,0.43852901
15,0.690065559
10,0.816496581
12,0.333333333
9,0.707106781
11,0.875
19,0.609271796
10,0.857142857
5,0.676123404
12,0.333333333
13,0.632455532
6,0.46291005
24,0.745601135
16,0.311399578
11,0.942809042
14,0.572077554
20,0.726722093
26,0.699378606
13,0.533001791
13,0.636363636
4,0.866025404
10,0.75
18,0.467707173
8,0.9258201
16,0.467707173
14,1
12,0.63900965
22,0.68884672
23,0.56343617
13,0.547722558
10,0.948683298
10,0.942809042
10,0.9258201
19,0.739940073
17,0.5
8,0.597614305
25,0.591607978
15,0.609271796
8,0.845154255
27,0.713024096
15,0.490511472
18,0.429668924
24,0.632455532
12,0.640512615
33,0.703703704
16,0.667423812
4,0.816496581
24,0.555555556
18,0.707106781
11,0.667423812
6,1
33,0.644383337
8,0.9258201
6,0.365148372
27,0.66864785
15,0.8
9,1
19,0.727606875
16,0.632455532
4,0.23570226
14,0.782623792
16,0.632455532
5,0.516397779
16,0.545454545
33,0.43549417
13,0.625
10,0.801783726
18,0.696310624
7,0.881917104
11,0.478091444
9,0.668153105
12,0.591607978
12,0.190692518
15,0.692307692
13,0.703526471
14,0.667423812
22,0.544331054
12,0.319801075
29,0.741940827
12,0.707106781
3,1
9,1
4,0.40824829
5,0.666666667
30,0.703526471
11,0.707106781
5,0
16,0.877058019
6,1
8,0.866025404
12,0.804030252
4,0.866025404
21,0.788240781
13,0.363636364
18,0.467099366
7,0.288675135
10,0.703526471
13,0.609271796
12,1
12,0.533001791
7,0.801783726
4,1
11,0.377964473
25,0.623609564
25,0.450563557
10,0.881917104
6,1
16,0.919866211
12,0.644658371
22,0.585017939
4,0.670820393
9,0.721687836
12,0.554700196
14,0.40824829
16,0.43852901
14,0.904534034
13,0.7
4,0.894427191
12,0.782623792
4,0.471404521
29,0.666972969
3,0.816496581
6,0.670820393
17,0.654653671
10,0.670820393
3,0.816496581
3,1
3,0.816496581
17,0.647150229
4,0.666666667
11,0.888888889
9,1
12,0.288675135
16,0.880704846
23,0.605405515
11,0.85811633
24,0.775631535
8,0.169030851
12,0.301511345
10,0.503952631
27,0.650791373
9,0.676123404
3,1
3,1
3,0.816496581
3,0.816496581
3,0.816496581
3,0.816496581
3,1
4,0.816496581
3,0.816496581
2,0.816496581
2,0.816496581
3,0.816496581
3,0.40824829
3,0.816496581
3,0.816496581
3,0.816496581
4,1
4,1
3,0.816496581
3,0.816496581
2,0.816496581
2,0.816496581
4,1
4,1
3,0.816496581
4,0.666666667
3,0.40824829
4,0.666666667
2,0.40824829
4,1
4,1
2,0.816496581
2,0.816496581
2,0.816496581
2,0.40824829
3,0.666666667
4,0.666666667
2,0.353553391
7,0.577350269
3,0.40824829
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
2,0.40824829
5,0.516397779
2,0.816496581
4,1
2,0.816496581
4,0.288675135
2,0.353553391
4,0.288675135
7,0.577350269
7,0.666666667
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
4,0.666666667
3,1
3,1
4,0.666666667
2,0.353553391
5,0.774596669
6,0.670820393
2,0.353553391
4,0.75
2,0.816496581
10,0.670820393
4,1
4,0.670820393
2,0
4,1
6,0.894427191
4,0.866025404
4,1
6,1
6,0.894427191
6,0.670820393
5,0.6
4,0.75
2,0.353553391
3,0.707106781
4,0.866025404
4,0.866025404
5,0.666666667
4,0.866025404
6,1
4,0.5
4,0.5
6,1
6,1
4,0.670820393
4,0.816496581
4,1
5,0.471404521
6,0.894427191
9,0.4
6,0.670820393
6,0.6
6,1
4,0.670820393
4,0.866025404
4,0.866025404
8,0.670820393
6,1
4,0.516397779
9,0.912870929
9,0.894427191
4,1
7,0.816496581
5,0.447213595
6,0.8
4,0.670820393
6,0.75
4,0.516397779
4,0.707106781
6,0.670820393
4,0.516397779
4,0.670820393
6,0.894427191
2,0.56694671
4,0.894427191
8,1
5,0.547722558
7,0.833333333
9,0.730296743
4,0.471404521
4,0.471404521
6,0.894427191
8,0.833333333
9,0.666666667
9,0.666666667
6,0.912870929
4,0.5
6,0.670820393
6,1
8,0.730296743
9,0.77151675
4,0.547722558
5,0.866025404
10,1
7,0.730296743
6,0.8
4,0.894427191
7,0.666666667
9,0.912870929
8,0.912870929
6,0.670820393
7,1
8,0.730296743
4,0.6
4,0.894427191
10,0.6172134
7,0.5
4,0.730296743
7,0.6172134
3,0.316227766
8,1
6,0.8
6,0.40824829
8,1
8,1
8,1
10,0.676123404
8,0.9258201
4,0.182574186
9,0.9258201
6,0.670820393
7,1
9,0.833333333
7,0.547722558
6,0.666666667
9,0.666666667
9,0.912870929
6,1
2,0.471404521
7,0.894427191
6,0.816496581
4,0.912870929
8,1
6,0.612372436
8,1
6,0.845154255
8,0.9258201
6,0.730296743
6,1
9,0.676123404
4,0.755928946
8,0.670820393
7,0.666666667
4,0.654653671
6,0.845154255
6,0.612372436
10,0.428571429
7,1
8,1
4,0.612372436
8,1
6,0.666666667
6,0.547722558
4,0
9,1
4,0.670820393
6,0.845154255
9,0.6
7,0.6172134
7,0.46291005
6,0.912870929
8,0.6172134
4,0.21821789
10,0.77151675
8,0.833333333
15,0.63900965
21,0.585017939
18,0.640512615
8,0.866025404
11,0.875
8,0.625
33,0.578637562
23,0.5
7,0.857142857
14,0.526234812
26,0.55
13,0.752617809
11,0.462250164
20,0.68219104
11,0.777777778
6,0.46291005
13,1
7,0.888888889
10,0.77151675
17,0.880704846
6,0.424264069
12,0.739600262
10,0.46291005
6,1
9,0.666666667
10,0.9258201
10,0.668153105
6,1
8,0.833333333
8,1
7,0.433012702
6,0.9258201
9,0.801783726
10,0.6172134
10,0.707106781
6,1
13,0.77151675
10,0.935414347
7,0.833333333
8,0.77151675
11,0.935414347
11,0.9258201
7,0.267261242
8,1
8,1
5,0.182574186
9,0.668153105
8,0.6172134
7,0.6172134
7,0.77151675
8,0.730296743
6,0.507092553
9,0.668153105
6,0.158113883
9,0.571428571
6,0.833333333
7,0.77151675
12,1
10,0.534522484
8,0.377964473
8,0.717137166
9,0.935414347
8,0.857142857
12,1
11,0.935414347
9,0.680413817
8,0.845154255
11,0.3086067
6,0.77151675
11,0.875
6,0.845154255
12,0.571428571
10,0.534522484
12,1
10,1
6,0.77151675
11,0.77151675
7,0.365148372
9,0.629940788
9,0.9258201
7,0
6,0.4
6,0.730296743
7,0.9258201
9,0.46291005
9,0.668153105
8,1
8,1
8,0.935414347
10,0.875
15,0.935414347
9,0.589255651
12,0.857142857
6,0.730296743
6,0.534522484
8,0.547722558
7,0.845154255
10,0.801783726
10,0.942809042
7,0.77151675
7,0.9258201
8,0.9258201
11,1
12,0.935414347
7,0.632455532
10,1
12,0.875
11,0.875
11,0.707106781
7,0.612372436
8,0.77151675
9,0.400891863
9,0.353553391
11,0.666666667
8,0.5
10,0.866025404
8,0.534522484
9,0.75
7,0.288675135
11,0.857142857
11,0.857142857
6,0.730296743
11,0.857142857
8,0.676123404
6,0.845154255
6,0.77151675
7,0.377964473
11,1
6,0.5
12,0.534522484
10,0.353553391
6,1
17,0.824957911
8,0.547722558
7,0.571428571
8,1
13,0.730296743
8,0.721687836
9,0.935414347
9,0.935414347
9,0.935414347
9,0.935414347
10,0.942809042
10,1
6,0.9258201
7,1
8,0.935414347
12,0.6172134
10,1
8,1
10,0.857142857
8,0.866025404
13,0.375
11,0.471404521
10,0.824957911
8,1
7,0.668153105
6,0.632455532
5,0.433012702
11,0.857142857
9,0.801783726
8,0.571428571
12,0.843274043
8,0.77151675
8,0.507092553
11,0.866025404
11,0.680413817
8,0.755928946
8,0.533001791
13,0.589255651
8,0.875
13,0.680413817
8,0.857142857
10,0.857142857
8,0.857142857
9,0.338061702
9,0.801783726
12,0.777777778
7,0.9258201
9,0.571428571
7,0.666666667
9,1
8,1
6,0.845154255
11,0.77151675
10,0.866025404
5,0.721687836
8,0.721687836
7,0.400891863
6,0.790569415
9,0.680413817
14,0.5
19,0.824957911
9,0.589255651
13,0.603022689
8,0.881917104
12,0.875
7,0.478091444
10,0.707106781
10,0.306186218
8,0.424264069
14,0.85811633
10,0.852802865
16,0.485362672
32,0.722315119
12,0.366679399
15,0.783349452
11,0.707106781
10,0.824957911
19,0.815374248
13,0.730296743
37,0.571547607
15,0.490098029
14,0.540061725
30,0.65279121
15,0.87038828
29,0.829288429
10,0.881917104
10,0.670820393
10,0.769800359
22,0.645497224
22,0.973328527
11,0.668153105
10,0.755928946
9,0.40824829
11,0.717137166
12,0.843274043
23,0.769230769
12,0.589255651
17,0.589255651
15,0.639602149
14,0.63900965
15,0.888888889
11,0.421637021
49,0.712750964
14,0.800640769
19,0.814091578
6,0.285714286
15,0.725240668
38,0.644503387
9,0.942809042
10,0.852802865
12,0.629940788
13,0.880704846
18,0.87038828
10,0.559016994
12,0.547722558
7,0.25
16,0.88949918
11,0.8
18,0.880704846
26,0.857142857
11,0.824957911
23,0.726722093
14,0.904534034
10,0.881917104
29,0.77594029
20,0.720576692
11,0.75
14,0.649519053
15,0.400891863
6,0.507092553
15,0.507092553
16,0.83624201
13,0.9
22,0.6875
8,0.881917104
17,0.828078671
19,0.671317113
13,0.613940614
12,0.805822964
18,0.842664841
13,0.572077554
15,0.526234812
44,0.690197038
12,0.6
17,0.668153105
12,0.416666667
13,0.7
15,0.737864787
11,0.210818511
7,0.25
10,0.524142418
19,0.585369407
9,0.6172134
22,0.888888889
9,0.571428571
20,0.707106781
20,0.903696114
11,0.875
8,0.544331054
13,0.821583836
18,0.526234812
11,0.701646415
11,0.904534034
30,0.688032961
23,0.702959492
16,0.603022689
12,0.5
14,0.739600262
10,0.717137166
11,1
8,0.707106781
12,0.455842306
31,0.800197604
16,0.745355992
13,0.490290338
8,0.668153105
14,0.9258201
14,0.609271796
20,0.725240668
17,0.592999453
12,0.701646415
19,0.503952631
17,0.678400525
8,0.801783726
13,0.818181818
17,0.916666667
19,0.759072115
12,0.603022689
18,0.667124385
10,0.288675135
16,0.752617809
10,0.8
12,0.762770071